category,user,title,content,imgSrc,viewCount,likeCount,createAt,postReplyLists
okky,오늘도커밋,"농구 기록 관련 프로젝트를 하나 해보고 싶은데,,","안녕하세요! 평소 kbl을 좋아해서 선수 기록, 비교 등 관련 개인 프로젝트를 해보려고 하는 프론트엔드 취준생입니다.
제공되는 api가 없다면 선수 기록 같은 데이터들은 크롤링을 해서 활용해야 할까요?",0,218,0,3,"[{'user': '더미', 'content': '개인 프로젝트라고 해도 크롤링은 답이 아닙니다.', 'createAt': '3일전'}, {'user': '삶은개발', 'content': '데이터 취급은 항상 중요하긴 하죠\n공개 비공개 확인 잘 해보시고 활용해 보시길 바랍니다.\n어떤 데이터 입수처가 좋을까요', 'createAt': '3일전'}]"
okky,JayKe,안녕하세요 국비 학원으로 시작해보려고 합니다,"시험준비하다 34까지 무경력으로 인생 송두리째 날려먹고 나름 서울 상위권대학 학위 학점 다 무쓸모가 된 잉여인간입니다
어머니가 그쪽으로 더 도전해보길 원하셨지만 합격가능성을 떠나 책만보면 불안증 우울 및 자살생각까지 들어 포기했습니다

무경력자가 이제와 아무 배운것없이 사회진출하긴 사실상 불가능하여 나이 무관하게 먹고 살만한 재주를 찾아보다가 여기까지 왔습니다
공돌이 시절 교양필수로 배웠던 c언어 학점이 좋았고 명령어?같은것들을 입력하고 실행돌리면서 즐겁게 배웠던 기억이 아직 남아있어 늦은 나이에 맨땅에 박아보려고 합니다

관련 커뮤니티들을 검색해보니 국비 출신에 나이많은 노베이스는 취업이 거의 불가능하다고 하던데 최저임금 받으며 수련하는 업무조차도 얻기 어려울까요
가능성이 있다면 죽기살기로 시험공부하듯 절치부심 배우고 버텨볼까 합니다",0,800,1,4,"[{'user': 'o_mal', 'content': '저도 30살정도에 시작했는데 늦지 않았습니다. 자신을 좀더 믿고, 자신감있게 헤쳐나가세요!', 'createAt': '4일전'}, {'user': '프리하고싶다', 'content': 'leon808 쪼로로 와서 댓글로 또 훈수두겠네 ㅋㅋ', 'createAt': '4일전'}, {'user': '더미', 'content': '음... 이제 35되실텐데 가능성이 없어보입니다', 'createAt': '4일전'}, {'user': '사진', 'content': '서울 상위권대학 나올정도면\n공부 많이 하신것 같은데 ...\n전기, 소방쪽도 좋아 보이네요\n\n전 머리가 나빠서 아직도 it 20년차 하고 있네요\n국비학원은 실업자 양성하는 학원이 라고 생각하고 있습니다.', 'createAt': '4일전'}, {'user': 'fork', 'content': '아무것도 안하는 것보단 100배 낫죠\n근데 진짜 열심히 하셔야 합니다... 진짜로...', 'createAt': '4일전'}, {'user': 'leon808', 'content': '최근 저희 회사에 30 중반 신입분 계십니다\n그래도 이 분은 다른 비개발 사회 경력 있으시고 개인 앱 개발 경험 있으셔서 상사님께서 잠재성 보시고 채용하신거 같아요\n아예 불가능은 아니라고 봅니다 오히려 다른 직종에 비하면 실날 같은 희망이라도 있다고 생각해요\n다만 정말 어려운건 맞습니다', 'createAt': '4일전'}, {'user': 'alan777', 'content': '요즘 it쪽 개발도 상당히 불경기입니다\n34살 비전공 신입 취업 쉽지않아보이네요', 'createAt': '4일전'}, {'user': 'm.koo.kr', 'content': '신입이시면? 만 35세가 마지노선입니다\n전자/제어/통신 같은 분야에 석사학위가 있으시면? 조금 더 연장 될 거구요\n박사학위가 있으면? 애초에 그 분야로 일을 시작하니까! 이런 고민은 안하겠네요..', 'createAt': '4일전'}, {'user': 'duke2', 'content': '비슷한 상황에서 시작했던 사람으로\n나이보단 오히려 시기가 더 문제입니다.\n시장 풀릴때까지 취준할수 있으면 불가능은 아닙니다.', 'createAt': '4일전'}, {'user': 'JayKe · 작성자', 'content': '하지 않기로 하였습니다\n희망을 주시는 답변, 현실적인 답변 모두 제 스스로 자괴감을 견뎌내고 다시 의지를 찾는 데 도움이 되었습니다\n모두 감사드립니다!', 'createAt': '4일전'}, {'user': '개발자가아닌조립자', 'content': '그냥 팩트는 내년 35살인데 이제 시작하겠다는걸 무작정가능하다 얘기하는 사람들은\n본인일 아니니까 막말하는 사람들이라고 밖엔 생각이 안듭니다.\n\n코로나 개발자 버블시기였으면 모를까 지금은 개발자 공급이 늘어나고 수요가 줄어들고있기에\n무턱대고 시작하세요라고 얘기하기엔 인생이 걸려있는거니까요.\n\n일단은 본인의 전공살려서 일단 들어갈 수 있는 곳으로 취직부터 먼저 한뒤에 본인 스펙업을 위해\n취미로 코딩을 배운다음 본인 전공과 연관된 분야의 개발자시장으로 전환하는건 40넘어서도 가능하다고\n봅니다.', 'createAt': '3일전'}, {'user': 'DaSA', 'content': '솔직히 말씀드리면 그 나이면 신입으로 시작하기에는 뭘 해도 늦었습니다.\n그러니까 늦었다는 말에 신경쓰지마시고 최선을 다하시면 됩니다..', 'createAt': '3일전'}, {'user': '개이득인개발', 'content': '죄송하지만 불가능합니다.\n희망을 꺾는게 아니라 진짜 불가능합니다.\n아무리 피나는 노력을 하시더라도 시기 및 경제상황이 너무 좋지 못합니다.', 'createAt': '3일전'}, {'user': 'nordwest', 'content': '응원합니다.\n개발자 중에 원앙 어선 타시다 개발 하시는 분도 봤고\n개발 1도 모르지만 육군 대령 전역 PM 하시는 분도 봤고\n한쪽 눈이 실명 다른 눈 거의 안보이지만 개발 하시는 분도 있습니다.\n나이가 많은 만큼 빠른 성취를 보인다면 어린 분들 보다 빨리 임금 인상도 가능 합니다.', 'createAt': '3일전'}]"
okky,momomong,ios 개발자는 요즘 어떤가요? 웹 보다 취업하기 힘든가요?,"최근에 ios개발에 관심이 생겨서 좀 공부해봤는데 이제 2학년 마치고 3학년 올라가는 방학이라 진로를 확실히 결정해야 할것 같은데 ios개발자는 혹시 어떤지 알수 있을까요?
그냥 남들 처럼 웹 프론트 혹은 백으로 준비하는게 맞을지 아니면 어느쪽으로 마음을 결정하는게 맞을지 잘 모르겠습니다..
어차피 웹쪽도 힘들면 관심가는 쪽으로 하는게 맞을지..",0,538,0,4,"[{'user': '잠자는사자', 'content': '대기업 아니면 iOS개발자만 따로 뽑아서 네이티브앱 만들지 않겠지요??\nreact-native 공부하세요\niOS, android 다 만들수 있습니다.', 'createAt': '4일전'}, {'user': '흰꿈둘', 'content': '넵넵', 'createAt': '4일전'}, {'user': 'tmxmfhd_', 'content': 'iOS 신입부터 주니어까지 공고가 몇개없어서 입문이라면 비추합니다..\n채용사이트에서 한번 찾아보세요', 'createAt': '4일전'}, {'user': 'safasdfsdfsdf', 'content': '앞으로 앱시장 파이는 더더욱 줄어들겁니다', 'createAt': '3일전'}]"
okky,Cfkde,서합률 0% 어떤 걸 준비하면 좋을까요..,"국립대 4년제 공대(컴공x)고 정처기,adsp,컴활 2급, 토스 im2 있습니다
경력은 2년 4개월 있습니다 개발자로 취직했는데 유지보수 업무만 해서 신입으로 지원하고 있어요
2022년에는 이력서 5개 넣으면 2개는 붙었던거같은데 지금은 10개 넣어도 0개네요 코딩테스트 같이 준비하고있는데 예선부터 탈락합니다 ㅎ..
어떤 걸 하면 좋을까요
토익스피킹 점수 ih까지 올리기
계속 자소서 수정하면서 코딩테스트, 면접준비하기
프로젝트 하기",0,1100,1,5,"[{'user': 'leon808', 'content': '퍼블리셔가 프론트, 백엔드로 전직하는 것도 아닌데 그냥 경력직으로 지원하면 안 되나요?\n자기 자신을 낮추어 지원하면 뽑는 사람 입장에서는 이 사람은 왜 하향 지원을 하지? 자신이 없나? 그런데 경력이 있어서 돈은 조금만 지나도 3년차로 쳐줘야겠는데?\n이래서 생각 많아질거 같다고 추측해봅니다', 'createAt': '5일전'}, {'user': '우헹헹', 'content': '유지보수하셨던 경험이랑 따로 포트폴리오 준비하시면 경력이 있으셔서 충분히 되실 거 같은데...', 'createAt': '5일전'}, {'user': '캐티', 'content': '망하였어요. 유지 업무만 하였다면 지원분야가 백엔드이나요. 백엔드도 기술 스택이 어느 정도 특정 진영에 편향되어있쩌. 리엑트 내부 의존관계 일수도 있고요. 아무튼 기술스택이 편향된 지원서를 여러 장 준비하고 맞춤 지원서로 1장을 보내주어야 성과가 좋다고 전망합니다.', 'createAt': '5일전'}, {'user': '갱갱갱', 'content': '실력쌓기.', 'createAt': '5일전'}, {'user': 'MSSQL 튜너', 'content': '유지보수도 개발입니다~경력으로 지원하세요~저연차 경력직들 많이 뽑습니다~지금부터라도 개발공부 열심히 하시구요', 'createAt': '5일전'}, {'user': '나를씨', 'content': '10개 넣어서 0개면... 경력에서 사용하신 환경을 적어주시면 조언 드리기 쉬울 것 같네요.', 'createAt': '5일전'}, {'user': 'xml개발자', 'content': '작성자님 스펙에는 큰 문제가 없습니다.\n경기가 않좋아서 그렇습니다.. 그리고 애초에 12월에는 안 뽑습니다.\n보통 설 끝나고, 2월쯤부터 많이 뽑습니다.\n경력자들도 12월 말에 프로젝트 끝나고 나오면 설까지 손가락 빨고 있어요...\n신입은 더 뽑히기 힘들죠 ㅠ', 'createAt': '5일전'}, {'user': 'defult', 'content': '경력이 있는사람이 신입지원하면 컷하는 회사들도 있습니다.\n\n이런식으로 말이죠.\n중고신입은 자신의 지원 자격마저 박탈당해서 자격상실로 떨어질 각오를 하셔야합니다.\n네이버 신입채용 : 기술직군\nQ. 총 경력이 모집 직무와 직접적으로 연관되지 않는 경력을 포함하여 1년 이상입니다.\n해당 경력을 인정받길 원하지 않아도 지원할 수 없나요?\nA. 아쉽지만 모집 종료일 기준(6/28) 총 경력이 1년 이상인 분은 지원 대상에 포함되지 않습니다.\n보유하고 계신 경력과 연관 있는 경력직 공고로 지원해주시기 바랍니다.', 'createAt': '5일전'}, {'user': 'Bugfix', 'content': '경력직은 경력직들끼리 경쟁을 하는데\n신입은 학원이수생부터 학교 졸업생들 다들과 경쟁해야 합니다.\nSM 경력도 도메인 지식이 쌓여 경력이 맞기 때문에 위축되실 필요가 없습니다.\n그리고 신입인데 경력이 지원하면 실력이 없나 하거나 이시기 지나면 도망가지 않을까 하는 생각도 합니다.', 'createAt': '5일전'}]"
okky,설록차,일본 도쿄에서 개발자로 일하시는 분들께 질문드립니다,"도쿄 신주쿠 소재의 SUHO에 대해서 소문이나 후기를 알고 계신 분 계실까요
취업 후기 사이트를 봐도 정보가 아무것도 없어서 어떤 회사인지 경험자의 후기를 들을 수 있으면 좋겠습니다",0,629,0,5,"[{'user': 'chytonpide', 'content': 'https://biz-maps.com/item/gm1y34qxZo\n대표가 한국분이시네요?', 'createAt': '5일전'}, {'user': '나를씨', 'content': '취업이 많이 급하시면 일단 가서 배우는 걸 추천 드립니다. 하지만, 고생은 엄청하게 되실거에요.', 'createAt': '5일전'}]"
okky,packsibong,프리 sm vs 중소 정규직,"안녕하세요 백엔드 경력 2년 4개월 남짓의 초보개발자입니다
스펙은 전문대졸 기사자격증 보유중이고 내년 방통대 다니면서 학사취득 예정입니다. 프리와 정규 면접본곳 둘 다 이전직장과는 다른언어이구요 
너무나도 고민되어서 조언구합니다
현재 프리 sm 월420 하나 확정된게있습니다
그리고 오늘 중소 정규직 면접봤는데 확정은아니지만 확정된다면 3600(직전연봉과 같음)받을 것 같습니다.
중소라서 딱히 별다른 복지는 기대하지 않고있습니다.
둘 다 확정된다면 어디로 가는게 미래를 봤을때 좋을까요?
안정성 생각하면 후자가 맞을 것 같은데 당장 눈앞의 금액보니... 
선배님들의 조언이 필요합니다. 감사합니다.
PS. 이전에 질문한번드렸었는데 큰 도움이 되었습니다. 댓글달아주신분들 감사합니다",0,762,0,5,"[{'user': '한안아', 'content': '신입은 중소 정규직에서 경험을 쌓는게 안정적이긴 한데...\n돈만보면 SM gogo', 'createAt': '5일전'}, {'user': '프레이야', 'content': '기간이라던지 업무내용 상세정보가 있음 판단이 좀 나을듯여.\nsm이면 1년 계약이라면 그게 나아보이네여\n정규직이라고 해도 회사 내근직 아니면 파견보낼것 같으니', 'createAt': '5일전'}, {'user': '춘식잉', 'content': '본인이 현재 자기 실력에 자신이 있으시면 프리랜서 가시고\n그게 아니면 정규직으로 좀 더 실력,경험 쌓으세요\n\n프리sm에서 뭔가를 배워가기가 쉽지 않구요,\n저연차일때는 본인을 끌어줄 선배들이 필요합니다.', 'createAt': '5일전'}, {'user': 'qwer1232', 'content': '3년차에 3600은 좀 많이작은거 같은데 정규직으로 4천 한번 트라이해보시쥬', 'createAt': '5일전'}, {'user': 'Bugfix', 'content': '프리는 장점이 정규직에 비하여 많이 받는다는 겁니다.\n그런데 현재 발주 프로젝트가 적어져 불안정적인 반면 단가도 많이 내려가는 추세 입니다.\n특히 경력 만4년-6년 미만은 프리시장에서 발주사가 그다지 선호하지도 않습니다.\n정규직의 경우 프리랜서 경력이 많으면 근무조건이 좋은 회사들에서는 꺼리는 경향도 있기 때문에\n프리랜서로서 충분한 임금을 보장받지 않으면 고민을 해봐야 합니다.', 'createAt': '5일전'}, {'user': '전뚱이인데요', 'content': '프리 sm 도 거의 큰 사고만 안나면 오래 일 할 수 있어요 저 같으면 프리 sm 들어가서 좋은 정규직 회사 노리겠습니다 아니면 프리sm 열심히 해서 정규직으로 전환 될 수도 있는거구요\n연봉 3600은 넘 적네요 월 420 수령이면 연봉으로 거의 6100 인건데..', 'createAt': '4일전'}]"
okky,ehdgh1234,졸업유예를 하고싶은데 취업을 해도 되나요?,"제가 건축사사무소를 교수님 추천을 통하여 알게되고 내년부터 출근을 하기로 했습니다. 아직 서류 작성같은 건 안했습니다.
제가 설계 전공이 아니다보니 공모전 참여도 저조하고 포트폴리오가 부족해 내년에 학생 공모전을 참여하고 싶어 졸업유예를 하려 했거든요 혹시 졸업 유예하면 학생 신분인데 직장에 다니는건 괜찮을까요? 대표님께 여쭤보긴 하겠지만 취업자가 졸업유예한 사례도 있나 싶어서 여기에 적어봅니다",0,400,0,5,"[{'user': '더미', 'content': '회사마다 다릅니다', 'createAt': '5일전'}, {'user': 'xml개발자', 'content': ""업계마다 달라서 정답이 없습니다.\n만약 경력 산정을하는 업계라면.. 대학 졸업하기 전의 경력은 '고졸의 경력'으로 취급됩니다.\n하는 일은 똑같은 데, '고졸 시절의 경력은 고졸이 할만한 일이다.'라는 논리로 억까당할 수 있습니다.\n학교 선배들이나 회사 사람들과 이야기해보시는 게 좋을 것 같습니다."", 'createAt': '5일전'}, {'user': '프레이야', 'content': '잘 협의만 되면 가능하기도 하니 잘 말씀드려 보세여.', 'createAt': '5일전'}, {'user': 'Bugfix', 'content': '그냥저냥 경력쌓고 건축사 취득 하실거면 적당한곳 가셔서 1년이라도 경력 빨리 쌓는게 좋구요.\nTV 에서 보는 건축 디자인 설계를 하고 싶으신 경우 유럽쪽으로 유학을 갔다오는게 좋습니다.\n일반적인 경우 설계쪽으로는 일반 설계 회사 들어가서는 TV 에서 보는 멋있는 설계하고 그런 기회가 잘 안생깁니다.', 'createAt': '5일전'}, {'user': '옴뇸뇸뇸', 'content': '저요 취업 안될까바 졸유했는데 운좋게 취업이 돼서 정신없이 회사다니다가\n졸업 요건을 못 맞춰서 강제 졸유 한 학기 더하고 회사 다니고 있네요', 'createAt': '5일전'}]"
okky,kari342,방통대 고민,"안녕하세요. 선배님들
비전공 국비로 시작해 이제 2년차가 되는 개발자입니다.
현재는 si에서 현업으로 java, vue를 사용하고 있습니다.
본론은 제가 현재 2년제 전문대졸이며, 방통대를 하는 게 좋을 지에 대한 질문입니다.
질문 자체가 모호하다는 것은 알고 있는데 어떠한 점이 도움이 되는 지 방통대 보다 현업에 더 집중하는 것이 맞는지
궁금해서 질문을 올리게 되었습니다.
현실적인 조언 주시면 감사하겠습니다!",0,638,0,6,"[{'user': '대길2', 'content': '무조건 하삼 방통대 4학년인데 챗지피티로 과제하면 되고 일하면서 할만함', 'createAt': '6일전'}, {'user': '월급은나의빛', 'content': '방통대를 다녀서 손해 볼 일이 없지 않나요? 들어 본 풍월이 많은 게 훨씬 좋습니다.', 'createAt': '5일전'}, {'user': 'Lzlzlzzz', 'content': '최종학위가 전문학사인 것보다는 대우가 나을겁니다.', 'createAt': '5일전'}, {'user': '더미', 'content': '학사 있는게 좋습니다', 'createAt': '5일전'}, {'user': 'TomHardy', 'content': '학점은행제 학점따고, 방통대 3학년 편입해서 졸업했는데, 여유 있으시면 다니시는걸 추천드립니다.', 'createAt': '5일전'}, {'user': '키리링', 'content': '방통대 졸업생 입니다.\n저도 님 처럼 전문대를 나와서 방통대 3학년 편입 후 졸업한 경우인데요.\n시험 전 1~2주 정도만 공부하면 되고 나름 할만 합니다. 학비가 비싼편도 아니라서요.\n어느 과를 갈지 몰라도 저 처럼 컴퓨터로 가신다면 학비 30~40 만원 정도 할껍니다.\n현업자고 전문대를 나왔으니 3학년으로 편입하셔서 컴터과를 다니시는게 학점 따기도 쉽고 좋을꺼에요.\n전 처음에 인공지능 들어갔다가 과 옮겼습니다...\n\n이후 여유가 된다면 국립대 석사도 한번 준비해 볼 생각입니다. 그러면 학력 세탁도 되니까요.\n그런 의미에서 3학년 편입으로 해서 2년만 하면 되고, 실제 학업 시간으로 따지면 한 학기 3개월, 4학기니까 총 12개월인 1년 밖에 안되니 안할 이유가 딱히 없다 생각합니다.', 'createAt': '5일전'}, {'user': 'xml개발자', 'content': '방송대 다니면서 충분히 졸업 가능합니다.', 'createAt': '5일전'}, {'user': '코가더', 'content': '가세요~~~~~', 'createAt': '5일전'}, {'user': 'safasdfsdfsdf', 'content': '둘다 하셔야하는데 방통대도 무조건 하세요 무적권이요 해외갈수도있느거고 사람일 어찌될지 모릅니다', 'createAt': '5일전'}]"
okky,weweeww,중견기업 전산업무 신입입니다 조언 부탁드립니다.,"이번에 중견기업 전산직 신입으로 들어갔습니다
ERP 자체 개발은 안하고 네트워크랑 시스템 유지보수, PC 유지 관리 업무를 하고있는데
나중에 대기업이나 공기업 이직을 위해서 필요한 기술이나 자격증 조언 부탁드립니다.
현재 정보처리기사, sqld, ADsp, 토익 보유중입니다 감사합니다",0,637,0,6,"[{'user': 'allinux', 'content': '어디로 이직할 계획인데요? 계획도 모르는데 조언도 불가능하겠지요.', 'createAt': '6일전'}]"
okky,EliteXD,안녕하세요 3년차 개발자 입니다. 선배님들 조언 부탁드립니다.,"안녕하세요.
중소기업에서 SM과 SI 업무를 병행하고 있는 주니어 개발자입니다.
현재 사용 중인 스택은 Django와 JavaScript이며,
백엔드와 프론트엔드(마크업 제외) 업무를 모두 맡고 있습니다.
제가 판단하기에 백엔드보다 프론트엔드에 더 강점이 있다고 생각하며,
특히 JavaScript를 활용한 프론트엔드 업무 경험이 많습니다.
다만, DevOps, 데이터베이스 설계, 대규모 트래픽 처리 경험이 부족해
백엔드 분야에서의 경쟁력이 다소 떨어진다는 느낌을 받고 있습니다.
앞으로 CSS, HTML, React.js, Tailwind, TypeScript 등을 배우며
프론트엔드로 포지션을 전환하는 것에 대해 어떻게 생각하시나요?
조언 부탁드립니다.",0,685,0,6,"[{'user': 'qwer1232', 'content': '음.. 비슷한 연차라 반갑습니다 저도 년차로는 4년차정도 되는 것 같아요 말씀드릴 실력이 부족할 수도 있겟네요\n그렇지만 제가 생각하기엔 쉽지않습니다.\n\n1. 마크업을 아예 해보지 않음 > 이게 왜 문제가 되냐면 반응형은 어떻게할건지 디바이스마다 어떻게 처리하고 웹뷰를 어떻게 디버깅 하는지 등 관련 경험이 부족함\n2. react나 next.js,ts 등을 사용해 보지않음 > 옛날이라 바닐라 자바스크립트 잘하면 뭐 vue, react다 잘할 수 있다하지만 요즘은 물론 처음에 시작하기에 좋긴하겠죠 근데 next만해도 엄청 방대해졌고 ssr이뭔지 csr이 뭔지 ssg가 뭔지 등등 코드스플릿팅, 오지태그, 페이지라우터 , 앱라우터 , 리액트쿼리, 전역상태관리 ,테스트(react-testing or jest or story book 등) 걍 알아야 할게 천지입니다.\n\n\n근데 굳이 이걸 다 아는 같은 년차에 프론트엔드를 뽑지 그돈주고 왜 애매한 백엔드 개발자를 채용을 할까요?\n그나마 연봉을 낮춰서 가던가.....음.... 근데 요즘 신입이 너무 잘해서.. 잘모르겠네요 ...', 'createAt': '6일전'}, {'user': 'allinux', 'content': '목표가 무엇인가요? 계획이나 목표를 알아야 현실적인 조언이 가능할겁니다.', 'createAt': '6일전'}]"
